,order_type,procedure_name,count(*)
50,ECG,TELEMETRY REPORT,47366
51,Nursing,UP AD LIB,46555
52,Lab,LACTIC ACID,46312
53,Lab,PHOSPHORUS,46145
54,Lab,"BRAIN NATRIURETIC PEPTIDE, BNP OR PROBNP",46078
55,Point of Care Testing,"POC PREGNANCY, URINE",44663
56,Nursing,VITAL SIGNS PER FACILITY DEPARTMENT GUIDELINES,44625
57,Lab,HEMOGLOBIN AND HEMATOCRIT,44116
58,Nursing,NURSING CONTINGENCY,43124
59,Point of Care Testing,POC TROPONIN,41999
60,Nursing,"EDUCATION, PROCEDURE PERFORMED",39928
61,Transfer,ED ADMIT TO INPATIENT,39891
62,Nursing,BED POSITION,39423
63,Microbiology,MRSA PCR RAPID SCREEN,39386
64,Lab,CBC WITHOUT DIFFERENTIAL,36753
65,Consult,IP CONSULT TO RESPIRATORY CARE,36075
66,Consult,IP CONSULT TO LACTATION,35845
67,Lab,TROPONIN,35166
68,Lab,PTT,34394
69,Nursing,STRAIGHT CATH,34111
70,IV,SALINE LOCK IV,34081
71,Lab,C-REACTIVE PROTEIN,33818
72,Nursing,FOLEY CATHETER - DISCONTINUE,33560
73,Blood Bank,PACKED RED BLOOD CELLS,33263
74,Nursing,ADVANCE DIET AS TOLERATED,32463
75,Nursing,INSERT FOLEY CATHETER,31777
76,OB,ELECTRONIC FETAL MONITORING,31748
77,Imaging,CT ABDOMEN PELVIS W CONTRAST,31432
78,Lab,EXTRA TUBE (LAV),29191
79,Nursing,TELEMETRY MONITORING,28375
80,SLP,SLP EVALUATE AND TREAT,28172
81,Lab,PROCALCITONIN,27856
82,Respiratory Care,RT ASSESS AND TREAT,27816
83,INFANT,DIET INFANT,27622
84,Nursing,TURN PATIENT,26487
85,Nursing,CHANGE DRESSING,26084
86,Respiratory Care,"PULSE OXIMETRY, SPOT",24969
87,Nursing,CONTINUE FOLEY CATHETER,24879
88,Nursing,ACTIVITY AS TOLERATED,24832
89,Pathology,PATHOLOGY,24328
90,Nursing,APPLY DRESSING,24186
91,Nursing,NURSING COMMUNICATION - IV FLUSH PANEL,23893
92,Nursing,"EDUCATION, INCENTIVE SPIROMETRY",23877
93,Lab,CARDIAC ENZYMES,23507
94,Nursing,PATIENT MAY SHOWER,23262
95,Nursing,NEUROLOGICAL CHECK,23026
96,Point of Care Testing,POC BILIRUBIN TRANSCUTANEOUS,23010
97,Nursing,"HEARING TEST, NEWBORN",22865
98,Diet,DIET DIABETIC,22247
99,Admission,ED ADMIT INSTRUCTIONS,22235
100,Nursing,PERICARE,21913
101,Lab,"DIFFERENTIAL, MANUAL",21824
102,Point of Care Testing,POC CREATININE,21345
103,Nursing Transfusion,TRANSFUSE PACKED RED BLOOD CELLS,21279
104,Lab,TSH,21145
105,Nursing,COLD THERAPY,20132
106,Nursing,UP IN CHAIR,19874
107,Lab,CK,19078
108,Diet,DIET FULL LIQUID,19008
109,Lab,CALCIUM IONIZED,18199
110,Lab,"DRUG SCREEN, URINE",17985
111,Lab,METABOLIC SCREEN NEONATAL,17975
112,Nursing,FOLEY CATHETER TO BEDSIDE DRAINAGE,17931
113,Respiratory Care,MECHANICAL VENTILATION,17828
114,Point of Care Testing,POC BLOOD GAS AND LACTIC ACID,17627
115,Lab,VANCOMYCIN LEVEL TROUGH,17533
116,Blood Bank,TYPE AND CROSSMATCH,17457
117,Microbiology,CLOSTRIDIUM DIFFICILE TOXIN,17449
118,Respiratory Care,PULSE OXIMETRY CRITICAL CONGENITAL HEART DISEASE SCREEN,17424
119,Imaging,CT ABDOMEN PELVIS WO CONTRAST,17271
120,Nursing,NURSING GUIDELINE,17116
121,Nursing,FOLLOW CLINICAL PATHWAYS,16999
122,Nursing,DISCHARGE PATIENT FROM RECOVERY WHEN CRITER,16775
123,Nursing,ELEVATE HEELS OFF OF BED,16744
124,Point of Care Testing,POC BLOOD GAS,16554
125,Code Status,DNR,16506
126,Consult,IP CONSULT TO SOCIAL WORK,16423
127,IV,INSERT PICC LINE,16102
128,Restraints,"RESTRAINT,NONVIOLENT/NON SELF DESTR",15992
129,Microbiology,MRSA ACTIVE SURVEILLANCE CULTURE,15938
130,Lab,HEMOGLOBIN A1C,15747
131,Nursing,NEURO/VASCULAR CHECKS,15679
132,Lab,"BILIRUBIN, NEONATAL TOTAL AND DIRECT",15548
133,Nursing,CORD CARE,15321
134,Nursing,AMBULATE WITH ASSIST,15174
135,Microbiology,INFLUENZA VIRUS A AND B ANTIGEN,14630
136,Nourishments,DIET SUPPLEMENT GEN ADULT,14473
137,Lab,EXTRA TUBE (GREEN),14136
138,Microbiology,SPUTUM CULTURE WITH GRAM STAIN,14128
139,Nursing,NOTIFY PHYSICIAN CONTINGENCY,13745
140,Nursing,CAR SEAT TOLERANCE EVALUATION,13726
141,Lab,EXTRA TUBE (BLUE),13624
142,Lab,AMYLASE,13299
143,Lab,ETHANOL LEVEL,13290
144,Blood Bank,CORD BLOOD EVALUATION,13183
145,Lab,AMMONIA LEVEL,13035
146,Diet,DIET CARDIAC,12518
147,Blood Bank,TYPE AND CROSSMATCH ADDITIONAL PACKED CELLS,12496
148,Consult,IP CONSULT TO SKIN CARE TEAM,12340
149,Lab,HEPATIC FUNCTION PANEL,12170
150,Consult,IP CONSULT TO HOME CARE NEEDS,11951
151,Nursing,DRAIN CARE,11862
152,ECHO,ECHO COMPLETE,11834
153,Diet,DIET DYSPHAGIA,11712
154,Consult,IP CONSULT TO NUTRITION SERVICES,11521
155,Lab,SEDIMENTATION RATE,11363
156,Imaging,CT CHEST W CONTRAST,11290
157,Respiratory Care,NASAL RESPIRATORY SUPPORT-INFANT,11253
158,Nursing,PREP SURGICAL SITE,11148
159,Nursing,APPLY SKIN PROTECTANT TOPICAL,10984
160,Lab,"BILIRUBIN, NEWBORN TOTAL AND DIRECT",10932
161,Lab,VANCOMYCIN LEVEL RANDOM,10797
162,Nursing,REASON FOR NOT PRESCRIBING BASAL INSULIN,10740
163,OB,NIPPLE SHIELD,10705
164,Point of Care Testing,POC ELECTROLYTES,10678
165,Precaution,ASPIRATION PRECAUTIONS,10515
166,OB,BREAST SHELL,10464
167,Lab,RENAL FUNCTION PANEL,10409
168,Imaging,XR PELVIS 1 OR 2 VW,10381
169,Procedures,CRITICAL CARE,10044
170,Respiratory Care,MECHANICAL VENTILATION - INFANT,10034
171,Isolation,CONTACT ISOLATION,9788
172,Lab,RETICULOCYTES,9758
173,Respiratory Care,NPPV BIPAP WITH FACE MASK,9708
174,TF,DIET TUBE FEEDING,9614
175,Respiratory Care,HIGH HUMIDITY HIGH FLOW OXYGEN,9574
176,Imaging,MRI BRAIN W WO CONTRAST,9358
177,Nursing,PLACE GRADUATED COMPRESSION STOCKINGS,9322
178,Lab,CKMB,9310
179,Lab,T4 FREE,9275
180,Nursing,VITAL SIGNS - NOTIFY PHYSICIAN,9172
181,Lab,METABOLIC SCREEN NEWBORN,9168
182,Nursing,NG/OG TUBE MAINTENANCE,9112
183,Lab,GLUCOSE LEVEL,9034
184,Nursing,"FOLLOW PW OBG: LABOR, DELIVERY, AND POSTPARTUM - VAGINAL BIRTH PATHWAY",8845
185,Nursing,AMBULATE PATIENT,8811
186,Nursing,SKIN CARE,8782
187,Diet,DIET GASTRIC SOFT,8668
188,Equipment,BARIATRIC BED RENTAL,8633
189,Lab,LIPID PANEL,8569
190,Imaging,XR ABDOMEN 1 VW,8460
191,Nursing,ENCOURAGE DEEP BREATHING AND COUGHING,8336
192,Microbiology,STOOL CULTURE W/SHIGA TOXIN,8238
193,Lab,LACTATE DEHYDROGENASE,8160
194,Lab,BLOOD GAS VENOUS,8104
195,Respiratory Care,RESPIRATORY THERAPY COMMUNICATION,8086
196,Restraints,"RESTRAINTS,RENEW NONVIOLENT/NON SELF DESTR",8060
197,Imaging,XR LUMBAR SPINE 2 OR 3 VW,8003
198,Lab,URINALYSIS WITH MICROSCOPIC,7970
199,Dialysis,HEMODIALYSIS,7925
200,Blood Bank,PRODUCT FRESH FROZEN PLASMA,7789
201,Lab,VITAMIN B12 AND FOLATE,7685
202,Microbiology,ANAEROBIC/AEROBIC CULTURE W GRAM STAIN,7651
203,Nursing,"EDUCATION, DISEASE PROCESS",7648
204,Respiratory Care,HANDHELD MUCOUS CLEARANCE,7622
205,Nursing,POSITION PATIENT,7523
206,Admission,ED ADMIT TO INPATIENT,7486
207,Nursing,FOLLOW PW PED: WELL NEWBORN CARE (VAGINAL DELIVERY) PATHWAY,7472
208,Lab,TRIGLYCERIDE,7458
209,Consult,IP CONSULT TO STROKE TEAM,7408
210,Point of Care Testing,POC OCCULT BLOOD 1 CARD,7338
211,Nursing,REMOVE DRESSING,7303
212,Lab,URIC ACID,7124
213,Procedures,LACERATION REPAIR,7094
214,Microbiology,RAPID STREP SCREEN WITH REFLEX CULTURE,7067
215,Nursing,SITZ BATH,6954
216,Admission,PLACE PATIENT AS OBSERVATION,6913
217,Nursing,CATHETER CARE,6756
218,Nursing,"FOLLOW PW ECR: HYPERGLYCEMIA, ADULT PATHWAY",6727
219,ECHO,ECHO COMPLETE W BUBBLE STUDY,6660
220,Lab,"IRON, TIBC, AND PERCENT SATURATION",6658
221,Microbiology,"GC/CHLAMYDIA, GENITAL",6654
222,Respiratory Care,CPAP CONTINUOUS- NASAL MASK,6641
223,Imaging,CT CERVICAL SPINE WO CONTRAST,6628
224,Point of Care Testing,"POC BLOOD GAS,NA,K,HH",6595
225,Lab,D-DIMER,6589
226,Equipment,LOW AIR LOSS BED RENTAL,6570
227,Point of Care Testing,"POC NA,K,GLUCOSE,H&H",6510
228,Microbiology,STREPTOCOCCUS GROUP A CULTURE,6384
229,Lab,OSMOLALITY,6376
230,Lab,KETONES/SERUM BETA HYDROXYBUTYRATE,6227
231,SLP,SLP CLINICAL SWALLOW EVALUATION,6210
232,Respiratory Care,"OXYGEN, NASAL CANNULA NEONATE",6149
233,Nursing,BLADDER SCAN,6121
234,Lab,RPR,6120
235,Blood Bank,PRODUCT PLATELETS,6085
236,Imaging,XR ABDOMEN ACUTE SERIES W CXR,6028
237,Nursing,DISCHARGE PATIENT WHEN CRITERIA IS MET,6002
238,Consult,IP CONSULT TO ANESTHESIOLOGY,5927
239,Lab,HEPATITIS B SURFACE ANTIGEN,5918
240,Imaging,CT CHEST ABDOMEN PELVIS W CONT,5913
241,Respiratory Care,CHEST PHYSIOTHERAPY,5881
242,Nursing,BLOOD DRAW CENTRAL LINE,5875
243,Lab,FERRITIN,5875
244,Nursing,ICE TO AFFECTED AREA,5873
245,Consult,IP CONSULT TO PALLIATIVE CARE,5752
246,Nursing,NURSING SWALLOW DYSPHAGIA SCREENING,5710
247,Respiratory Care,OSCILLATOR VENT,5683
248,Lab,DIGOXIN LEVEL,5675
249,Imaging,US RENAL AND BLADDER,5657
250,Blood Bank,PREPARE RED BLOOD CELLS,5632
251,Lab,"HCG QUANTITATIVE, BLOOD",5630
252,Nursing,NO NARCOTICS / SEDATIVES / ANTIEMETICS / SLEEPING AGENTS,5514
253,Lab,RUBELLA IGG,5494
254,Consult,IP CONSULT TO DIABETES EDUCATOR,5490
255,Nursing Transfusion,TRANSFUSE PLATELETS,5480
256,Imaging,XR CERVICAL SPINE 2 OR 3 VIEWS,5477
257,Consult,IP CONSULT TO GI,5426
258,Imaging,XR INFANT CHEST AP AND ABD 1 VW,5412
259,Discharge,ED EXTERNAL TRANSFER OUT TO,5386
260,General Supply,ABDOMINAL BINDER,5259
261,Lab,BILIRUBIN TOTAL,5220
262,Imaging,MRI BRAIN WO CONTRAST,5215
263,Nursing,NASOGASTRIC TUBE INSERTION,5184
264,Microbiology,WET PREP GENITAL,5179
265,Imaging,US CAROTID DOPPLER,5178
266,Lab,ACUTE HEPATITIS PANEL,5148
267,Precaution,FALL PRECAUTIONS,5116
268,Imaging,CT CHEST WO CONTRAST,4995
269,Lab,"ELECTROLYTES, RANDOM URINE",4973
270,Lab,CREATININE,4962
271,Lab,BILIRUBIN DIRECT,4940
272,Respiratory Care,EXTUBATION,4906
273,Lab,"CREATININE, RANDOM URINE",4875
274,Microbiology,"FUNGUS CULTURE, OTHER",4864
275,Microbiology,AFB CULTURE WITH STAIN,4858
276,Nursing,PHOTOTHERAPY,4851
277,Consult,IP CONSULT TO PHYSICAL MEDICINE REHAB,4836
278,Respiratory Care,CAPNOGRAPHY,4821
279,Nursing,FOLLOW PW OBG: CESAREAN BIRTH POSTPARTUM PATHWAY,4820
280,Lab,PT AND APTT,4814
281,Microbiology,STREPTOCOCCUS PNEUMONIAE ANTIGEN,4795
282,Nursing,TRAPEZE,4736
283,Respiratory Care,OXYGEN VIA DEVICE TO KEEP O2 SAT BETWEEN,4717
284,Microbiology,INFLUENZA VIRUS A AND B DETECTION,4660
285,Imaging,CTA HEAD AND NECK W WO CONTRAST,4598
286,Imaging,XR FLUORO LESS THAN 1 HOUR,4587
287,Consult,IP CONSULT TO PAIN MANAGEMENT TEAM,4583
288,Nursing,"FOLLOW INTERDIS PW: HYPERGLYCEMIA, ADULT PATHWAY",4552
289,Procedures,PROCEDURE PHOTOGRAPHS,4490
290,Nursing,TUBE INSERTION,4475
291,OB,FETAL SCALP ELECTRODE,4460
292,Lab,"OSMOLALITY, URINE",4452
293,IV,INSERT MIDLINE IV,4452
294,OB,INTRAUTERINE PRESSURE CATHETER,4428
295,Lab,"CELL COUNT WITH DIFFERENTIAL, BODY FLUID",4420
296,Lab,PERIPHERAL BLOOD SMEAR PATHOLOGY INTERP,4398
297,Nursing,APPLY ABDOMINAL BINDER,4381
298,Pathology,"CYTOLOGY, NON GYNE",4359
299,Blood Bank,VERIFICATION BLOOD GROUP,4353
300,Consult,IP CONSULT TO HOSPICE,4350
301,Imaging,XR ABDOMEN FOR FEEDING TUBE,4348
302,Imaging,XR VIDEO SWALLOW W SPEECH,4341
303,Nursing,ORAL CARE,4340
304,Microbiology,WOUND CULTURE WITH GRAM STAIN,4336
305,Precaution,SEIZURE PRECAUTIONS,4322
306,Imaging,US VENOUS DOPPLER LEG BILATERAL,4321
307,Lab,ACETAMINOPHEN LEVEL,4319
308,Nursing Transfusion,TRANSFUSE FRESH FROZEN PLASMA,4287
309,Lab,POTASSIUM LEVEL,4276
310,Lab,RBC MORPHOLOGY,4222
311,Nursing,FOLLOW PW PED: WELL NEWBORN CARE (CESAREAN DELIVERY) PATHWAY,4218
312,PT,PT EVAL AND TREAT WOUND CARE,4191
313,Isolation,ENTERIC CONTACT ISOLATION,4183
314,Consult,IP CONSULT TO INTERVENTIONAL RADIOLOGY,4126
315,Nursing,PELVIC SET UP,4111
316,Lab,CORTISOL LEVEL,4109
317,Lab,VITAMIN D 25 HYDROXY,4083
318,Nursing,ORTHOSTATIC VITAL SIGNS,4064
319,IV,DISCONTINUE IV,3974
320,Consult,IP CONSULT TO PASTORAL SERVICES,3893
321,Nursing,FOLLOW INTERDIS PW: LABOR DELIVERY AND POSTPARTUM-VAGINAL BIRTH,3872
322,Lab,HIV ANTIBODY W/REFLX CONFIRMATION,3834
323,Imaging,US GALLBLADDER,3833
324,Imaging,CT SINUS FACIAL BONES WO CONTRAST,3775
325,Lab,FIBRINOGEN QUANTITATIVE,3727
326,Microbiology,PRENATAL (BROTH-ENRICHED) GROUP B STREP DETECTION,3717
327,Consult,IP CONSULT TO NEPHROLOGY,3685
328,Lab,SALICYLATE LEVEL,3684
329,Nursing,CHECK RESPIRATORY RATE,3645
330,Imaging,CT URINARY CALCULI WO CONTRAST,3637
331,Nursing,DANGLE AT BEDSIDE,3597
332,Imaging,US OB LESS THAN 14 WKS SINGLE + TRANSVAG,3581
333,ECHO,ECHO PEDIATRIC COMPLETE,3565
334,Lab,PLATELET COUNT,3562
335,Lab,"SODIUM, RANDOM URINE",3557
336,Diet,DIET RENAL,3553
337,Consult,IP CONSULT FOR EPIDURAL BLOCK,3531
338,Lab,MISCELLANEOUS LAB TEST,3526
339,Point of Care Testing,POC ACTIVATED CLOTTING TIME,3523
340,Imaging,CT CHEST ABDOMEN PELVIS WO CONT,3501
341,OB,FETAL NONSTRESS TEST,3471
342,Lab,BILIRUBIN TOTAL AND DIRECT,3453
343,Imaging,XR SHOULDER 2+ VW RIGHT,3448
344,Nursing,PLACE PATIENT IN SPECIALTY BED,3423
345,Imaging,US VENOUS DOPPLER LEG LEFT,3390
346,Imaging,XR KNEE 3 VW RIGHT,3380
347,Nursing,SITTER AT BEDSIDE,3373
348,Consult to Surgery,IP CONSULT TO GENERAL SURGERY,3326
349,Lab,BILIRUBIN TOTAL NEONATAL,3315
350,Imaging,XR SHOULDER 2+ VW LEFT,3279
351,Nursing,COMMODE AT BEDSIDE,3244
352,Blood Bank,ABORH TYPING,3241
353,Nursing,NASOGASTRIC TUBE DISCONTINUE,3219
354,GI,GI REPORT,3209
355,Imaging,US PELVIS + TRANSVAG NON OB,3192
356,Imaging,XR KNEE 3 VW LEFT,3187
357,Nursing,CARDIAC MONITORING - PEDIATRIC,3177
358,Nursing,REMOVE DRAINS/TUBES,3171
359,Nursing Transfusion,TRANSFUSE RED BLOOD CELLS,3162
360,Point of Care Testing,"POC BLOOD GAS, LYTES AND H+H",3154
361,Lab,ANA SCREEN W/REFLEX,3139
362,Nursing,WOUND CARE,3117
363,Procedures,PROCEDURE REPORT,3115
364,Blood Bank,BLOOD BANK AB IDENT,3106
365,Imaging,US VENOUS DOPPLER LEG RIGHT,3080
366,Nursing,WEIGHT BEARING,3078
367,Nursing,FOLLOW INTERDIS PW: WELL NEWBORN CARE (VAGINAL DELIVERY),3052
368,Nursing,MEASURE HEAD CIRCUMFERENCE,3041
369,Microbiology,FECAL LEUKOCYTES STAIN,2968
370,Consult,IP CONSULT TO NEUROLOGY,2960
371,IV,DISCONTINUE PICC LINE,2946
372,Nursing,MEASURE BABY'S LENGTH,2941
373,Lab,HAPTOGLOBIN,2935
374,Nursing,SUPERVISED FEEDING,2918
375,Respiratory Care,"OXYGEN, NASAL CANNULA",2902
376,Imaging,XR FOOT 3+ VW RIGHT,2891
377,Respiratory Care,CPAP TREATMENT- FACE MASK,2876
378,Imaging,US HEAD,2861
379,Imaging,XR ABDOMEN W DECUB AND OR ERECT,2847
380,Imaging,XR HAND 3+ VW RIGHT,2820
381,Nursing,APPLY SLING,2805
382,Microbiology,RSV ANTIGEN,2803
383,Consult to Orthopedics,IP CONSULT TO ORTHOPEDIC SURGERY,2802
384,Microbiology,"LEGIONELLA ANTIGEN, URINE",2785
385,Microbiology,FECAL LACTOFERRIN,2781
386,Microbiology,RESPIRATORY CULTURE WITH GRAM STAIN,2723
387,Blood Bank,RH IMMUNE GLOBULIN EVALUATION,2703
388,Consult,IP CONSULT TO INFECTIOUS DISEASES,2698
389,Imaging,US PELVIS COMPLETE,2688
390,Imaging,US GB AND LIVER,2683
391,Imaging,XR FOOT 3+ VW LEFT,2672
392,Point of Care Testing,POC LACTIC ACID,2657
393,Respiratory Care,PULSE OXIMETRY CONGENITAL HEART DISEASE SCREEN,2655
394,Lab,HIV DETECTION W/REFLX CONFIRMATION,2651
395,Nursing,"FOLLOW PW NEU: TIA/STROKE, ISCHEMIC WITHOUT THROMBOLYSIS PATHWAY",2616
396,Imaging,US OB FOLLOW UP PER FETUS,2609
397,Lab,POC BLOOD GAS AND LACTIC ACID,2601
398,Microbiology,RESPIRATORY PATHOGEN PCR PANEL,2565
399,Nursing,DISCONTINUE PATHWAY,2545
400,Microbiology,BODY FLUID CULTURE WITH GRAM STAIN,2541
401,Procedures,"INCISION AND DRAINAGE, ABSCESS",2521
402,Lab,"PROTEIN , RANDOM URINE",2479
403,Microbiology,STREPTOCOCCUS GROUP B DETECTION,2476
404,Nursing,UP WITH ASSISTANCE,2461
405,Nursing,ROOMING IN,2410
406,Admission,PLACE PATIENT AS OUTPATIENT,2404
407,Imaging,XR ANKLE 3+ VW LEFT,2401
408,Imaging,XR ANKLE 3+ VW RIGHT,2399
409,Nursing,STRAPPING OF ANKLE AND OR FOOT,2388
410,Imaging,XR HAND 3+ VW LEFT,2382
411,Consult to Cardiology,IP CONSULT TO CARDIOLOGY,2349
412,Lab,GENTAMICIN LEVEL TROUGH,2344
413,Imaging,XR HIP 2+ VW RIGHT,2333
414,Imaging,XR HIP 2+ VW LEFT,2309
415,Lab,OCCULT BLOOD GUAIAC DIAGNOSTIC,2299
416,Nursing,DAILY INTERRUPTION OF SEDATION,2244
417,Nursing,COMFORT CARE / TERMINAL CARE,2242
418,Lab,CALCIUM LEVEL,2235
419,Nursing,KNEE IMMOBILIZER TO AFFECTED LEG,2230
420,Nursing,"FOLLOW PW PUL: PNEUMONIA - ADULT, ADMIT TO MED SURG PATHWAY",2229
421,Lab,SODIUM LEVEL,2221
422,Imaging,XR KNEE 1 OR 2 VW RIGHT,2220
423,Imaging,XR KNEE 1 OR 2 VW LEFT,2212
424,PT,PT DEBRIDEMENT WOUNDS,2208
425,Consult to Pulmonary,IP CONSULT TO PULMONOLOGY,2167
426,Respiratory Care,LIBERATION WEANING,2162
427,Lab,"PROTEIN, BODY FLUID",2160
428,Imaging,XR FLUORO GREATER THAN 1 HOUR,2143
429,Microbiology,MRSA/MSSA PCR RAPID SCREEN,2121
430,SLP,SLP SWALLOWING-DYSPHAGIA (IP),2110
431,Nursing,REASON FOR NOT INITIATING MECHANICAL PROPHYLAXIS,2084
432,Nursing,SUCTION,2083
433,Nursing,SOAP SUDS ENEMA,2067
434,Blood Bank,"ABORH, NEWBORN",2061
435,Lab,SPINAL FLUID CELL COUNT W/REFLEX DIFFERENTIAL,2012
436,Imaging,US DOPPLER TRANSCRANIAL,2004
437,Lab,"TOTAL PROTEIN, CSF",1987
438,Lab,"GLUCOSE, CSF",1974
439,Nursing,ED CRUTCH TRAINING,1961
440,Microbiology,OVA AND PARASITE SCREEN,1958
441,Nursing,APPLICATION SPLINT SUPPORT - IMMOBILIZATION,1957
442,Nursing,"FOLLOW PW MED: SEPSIS, ADULT PATHWAY",1956
443,Nursing Transfusion,TRANSFUSE PACKED RED BLOOD CELLS IN ML,1944
444,Consult,IP CONSULT TO OSTOMY NURSE,1939
445,Microbiology,SPINAL FLUID CULTURE WITH GRAM STAIN,1922
446,Imaging,IR VENOUS ACCESS,1919
447,Lab,PTH INTACT,1910
448,Consult,IP CONSULT TO UROLOGY,1909
449,Imaging,CT LUMBAR SPINE WO CONTRAST,1906
450,Lab,"LACTATE DEHYDROGENASE, BODY FLUID",1900
451,Imaging,US OB LESS THAN 14 WKS SINGLE GEST,1879
452,Imaging,XR WRIST 3+ VW LEFT,1879
453,Lab,LACTIC ACID REFLEX (INP),1855
454,Lab,"GLUCOSE, BODY FLUID",1846
455,Transfer,ED PLACE PATIENT AS OBSERVATION,1832
456,Isolation,DROPLET ISOLATION,1815
457,Lab,GENTAMICIN LEVEL PEAK,1803
458,Nursing,BODY TEMPERATURE REGULATION,1795
459,Imaging,XR RETROGRADE PYELOGRM W WO KUB,1791
460,Consult,IP CONSULT TO HEMATOLOGY/ONCOLOGY,1783
461,Lab,"PROTEIN ELECTROPHORESIS, SERUM",1779
462,Microbiology,GIARDIA & CRYPTOSPORIDIUM ANTIGEN,1775
463,Respiratory Care,ABG DRAW,1770
464,Imaging,US ABDOMEN LIMITED,1761
465,Nursing,"FLUIDS, ORAL",1754
466,Imaging,XR WRIST 3+ VW RIGHT,1753
467,Nursing,CHEMO TREATMENT EDUCATION,1748
468,ED to OR/Endo,ED DIRECT TO SURGERY,1745
469,Lab,"PROTEIN, 24 HR URINE",1733
470,Nursing,FOLLOW INTERDIS PW: CESAREAN BIRTH POSTPARTUM PATHWAY,1733
471,Nursing,POST PROCEDURE SITE ASSESSMENT,1733
472,Nursing,FOLLOW PW GEN: SKIN CARE PREVENTION: PRESSURE ULCER PATHWAY,1715
473,Nursing,ISOLETTE,1684
474,Imaging,IR TUBE PLACEMENT,1665
475,Lab,T3 FREE,1665
476,Nursing,FETAL HEART TONES BY DOPPLER,1646
477,Respiratory Care,INTUBATION,1646
478,Nursing,FOLLOW PW PUL: INVASIVE MECHANICAL VENTILATION - ADULT PATHWAY,1638
479,Consult,IP CONSULT TO PAIN MANAGEMENT,1631
480,Nursing,DRESSING CHECK,1602
481,Imaging,XR CHOLANGIOGRAM OPERATIVE,1600
482,Nursing,APPLY CERVICAL COLLAR,1593
483,Imaging,MRI LUMBAR WO CONTRAST,1589
484,Lab,"OCCULT BLOOD IMMUNOASSAY, COLORECTAL SCREEN",1583
485,Imaging,CT PELVIS WO CONTRAST,1576
486,Nursing,FOLLOW INTERDIS PW: WELL NEWBORN CARE (CESAREAN DELIVERY),1569
487,Precaution,BLEEDING PRECAUTIONS,1554
488,Diet,DIET SODIUM CONTROL,1544
489,Nursing,PATHWAY NOT APPLICABLE,1533
490,Nursing,FLUID RESTRICTION,1526
491,Lab,ANTINEUTROPHIL CYTOPLASMIC ANTIBODY,1524
492,Imaging,US RENAL,1491
493,Nursing,WEAN TO OPEN CRIB,1485
494,Imaging,XR TIBIA AND FIBULA 2 VW LEFT,1485
495,PT,PT WEIGHT BEARING,1482
496,Neurology,EEG,1457
497,Procedures,SPLINT APPLICATION,1455
498,Lab,"UREA NITROGEN, RANDOM URINE",1446
499,Nursing,ET TUBE SUCTION,1441
