,admitting_diagnosis,count(admitting_diagnosis)
130,Left upper quadrant pain,457
131,Esophageal reflux,442
132,Missed abortion,440
133,Maternal care for scar from previous cesarean delivery,433
134,"Other specified complication, antepartum",431
135,"Urinary tract infection, site not specified",427
136,Melena,427
137,Pain in right shoulder,426
138,Carpal tunnel syndrome,425
139,Post-term pregnancy,418
140,Blood in stool,417
141,"Other specified pregnancy related conditions, second trimester",411
142,"Gestational (pregnancy-induced) hypertension without significant proteinuria, third trimester",409
143,Myalgia,408
144,Pain in left shoulder,406
145,Excessive or frequent menstruation,405
146,"Allergy, unspecified, initial encounter",402
147,"Unilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent",391
148,End stage renal disease,390
149,Gross hematuria,390
150,"Laceration without foreign body of other part of head, initial encounter",389
151,"Unspecified asthma, uncomplicated",389
152,Palpitations,386
153,Facial weakness,379
154,Other and combined forms of senile cataract,376
155,Hematemesis,372
156,"Open wound of forehead, without mention of complication",371
157,"Injury, other and unspecified, elbow, forearm, and wrist",363
158,"Mild hyperemesis gravidarum, antepartum",360
159,Encounter for other specified aftercare,356
160,Wheezing,355
161,"Previous cesarean delivery, antepartum condition or complication",343
162,Anesthesia of skin,340
163,Acute respiratory failure,338
164,"Vomiting of pregnancy, unspecified",337
165,Unspecified cerebral artery occlusion with cerebral infarction,336
166,"Sepsis, unspecified organism",336
167,Dehydration,335
168,Nausea,335
169,Pain in or around eye,331
170,"Leiomyoma of uterus, unspecified",331
171,Other dyspnea and respiratory abnormality,328
172,Encounter for full-term uncomplicated delivery,324
173,"Abdominal pain, left upper quadrant",322
174,"Unspecified injury of right wrist, hand and finger(s), initial encounter",316
175,Nasal congestion,314
176,Degeneration of lumbar or lumbosacral intervertebral disc,301
177,Pleurodynia,298
178,Unspecified intestinal obstruction,298
179,Generalized pain,292
180,"Pneumonia, organism unspecified",289
181,"Unspecified injury of left wrist, hand and finger(s), initial encounter",287
182,"Intervertebral disc disorders with radiculopathy, lumbar region",283
183,"Myalgia and myositis, unspecified",282
184,"Cerebral aneurysm, nonruptured",281
185,"Twin, mate liveborn, born in hospital, delivered by cesarean delivery",281
186,"Hypotension, unspecified",280
187,Postmenopausal bleeding,279
188,Excessive and frequent menstruation with regular cycle,275
189,Degeneration of cervical intervertebral disc,273
190,Benign prostatic hyperplasia with lower urinary tract symptoms,272
191,"Open wound of hand except finger(s) alone, without mention of complication",271
192,Chronic tonsillitis and adenoiditis,270
193,"Localized swelling, mass and lump, head",269
194,"Anxiety state, unspecified",267
195,"Open wound of scalp, without mention of complication",266
196,Deviated nasal septum,263
197,"Sacrococcygeal disorders, not elsewhere classified",262
198,"Gastrointestinal hemorrhage, unspecified",261
199,"Spinal stenosis, lumbar region",261
200,Threatened abortion,259
201,"Decreased fetal movements, third trimester, not applicable or unspecified",257
202,Unspecified asthma,256
203,"Anxiety disorder, unspecified",256
204,"Otalgia, right ear",256
205,Other musculoskeletal symptoms referable to limbs,254
206,Jaw pain,251
207,Other fatigue,245
208,Pain in left lower leg,240
209,Hypertrophy of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS),240
210,Pain in left leg,240
211,Brachial neuritis or radiculitis NOS,239
212,"Injury, other and unspecified, shoulder and upper arm",238
213,"Injury, other and unspecified, finger",238
214,"Hemorrhage of gastrointestinal tract, unspecified",237
215,Other speech disturbance,237
216,"Hypoglycemia, unspecified",235
217,"Twin liveborn infant, delivered by cesarean",234
218,"Encephalopathy, unspecified",234
219,Trigger finger (acquired),234
220,"Unspecified injury of neck, initial encounter",233
221,Displacement of lumbar intervertebral disc without myelopathy,229
222,"Laceration without foreign body of scalp, initial encounter",228
223,"Carpal tunnel syndrome, right upper limb",227
224,"Decreased fetal movements, unspecified trimester, not applicable or unspecified",227
225,"Cellulitis and abscess of leg, except foot",227
226,"Localized osteoarthrosis not specified whether primary or secondary, lower leg",227
227,Unspecified renal colic,226
228,"Antepartum hemorrhage, unspecified, first trimester",225
229,Issue of repeat prescriptions,224
230,"Radiculopathy, cervical region",223
231,Other nonspecific abnormal finding of lung field,220
232,Periumbilical pain,219
233,"Other specified pregnancy related conditions, third trimester",219
234,Malignant neoplasm of unspecified site of right female breast,219
235,Other abnormal glucose,217
236,Dental caries on smooth surface penetrating into dentin,215
237,Other alteration of consciousness,215
238,"Tachycardia, unspecified",213
239,"Dyspnea, unspecified",213
240,"Pain in joint, upper arm",213
241,Umbilical hernia without obstruction or gangrene,210
242,"Otalgia, left ear",209
243,Other specified diseases of anus and rectum,209
244,"Supervision of elderly multigravida, third trimester",209
245,"Injury, other and unspecified, hand, except finger",208
246,Suicidal ideation,207
247,Solitary pulmonary nodule,206
248,Cellulitis and abscess of trunk,203
249,Umbilical hernia without mention of obstruction or gangrene,202
250,Diverticulitis of colon (without mention of hemorrhage),199
251,"Malignant neoplasm of bladder, unspecified",198
252,Malignant neoplasm of unspecified site of left female breast,197
253,"Allergy, unspecified not elsewhere classified",197
254,Redness or discharge of eye,196
255,"Swelling, mass, or lump in chest",196
256,Encounter for breast reconstruction following mastectomy,196
257,"Open wound of knee, leg (except thigh), and ankle, without mention of complication",195
258,Acute appendicitis without mention of peritonitis,194
259,Maxillary hypoplasia,192
260,Encounter for fitting and adjustment of urinary device,189
261,Elderly multigravida with antepartum condition or complication,188
262,"Unspecified injury of left shoulder and upper arm, initial encounter",187
263,Cervical spondylosis without myelopathy,187
264,Unspecified disorder of male genital organs,186
265,Infections of genitourinary tract antepartum,186
266,"Unspecified infection of urinary tract in pregnancy, unspecified trimester",184
267,Injury of face and neck,181
268,"Open wound of lip, without mention of complication",181
269,"Other cervical disc degeneration, unspecified cervical region",180
270,"Spinal stenosis, lumbar region, without neurogenic claudication",180
271,"Primary localized osteoarthrosis, lower leg",179
272,"Malignant neoplasm of bladder, part unspecified",179
273,Encounter for adjustment and management of vascular access device,179
274,Pain in right leg,178
275,Other specified disorders of eye and adnexa,178
276,"Hyperglycemia, unspecified",177
277,Encounter for change or removal of nonsurgical wound dressing,177
278,Pain in right lower leg,177
279,Pain in right foot,176
280,Pain in right ankle and joints of right foot,175
281,Anal or rectal pain,174
282,"Other intervertebral disc degeneration, lumbar region",174
283,Cellulitis and abscess of upper arm and forearm,174
284,"Localized superficial swelling, mass, or lump",172
285,Encounter for issue of repeat prescription,172
286,"Unilateral primary osteoarthritis, left knee",169
287,"Other tear of medial meniscus, current injury, right knee, initial encounter",167
288,Carcinoma in situ of breast,167
289,"Preterm labor without delivery, unspecified trimester",166
290,Incisional hernia without mention of obstruction or gangrene,166
291,Unspecified disorder of kidney and ureter,166
292,Incisional hernia without obstruction or gangrene,166
293,Cellulitis and abscess of buttock,165
294,Hypertrophy of tonsils with hypertrophy of adenoids,164
295,"Pneumonia, unspecified organism",163
296,Malignant neoplasm of rectum,163
297,"Unspecified injury of right shoulder and upper arm, initial encounter",162
298,Other specified visual disturbances,162
299,"Other specified diseases and conditions complicating pregnancy, childbirth and the puerperium",162
300,"Carpal tunnel syndrome, left upper limb",160
301,Localized enlarged lymph nodes,160
302,"Calculus of gallbladder with other cholecystitis, without mention of obstruction",159
303,Pain in left ankle and joints of left foot,159
304,"Leukorrhea, not specified as infective",159
305,"Full-term premature rupture of membranes, unspecified as to length of time between rupture and onset of labor",159
306,Fitting and adjustment of urinary device,157
307,"Unilateral primary osteoarthritis, right knee",157
308,Suicidal ideations,156
309,"Premature rupture of membranes in pregnancy, antepartum",155
310,"Malignant neoplasm of bronchus and lung, unspecified site",154
311,Other specified disorders of male genital organs,153
312,Unspecified lump in breast,153
313,Chills (without fever),153
314,Swelling or mass of eye,153
315,"Unspecified injury of left lower leg, initial encounter",152
316,Mastodynia,152
317,Lump or mass in breast,151
318,Painful respiration,151
319,"Sacroiliitis, not elsewhere classified",151
320,Barrett's esophagus without dysplasia,150
321,"Neoplasm of unspecified nature of bone, soft tissue, and skin",149
322,"Abdominal pain, periumbilic",149
323,Urinary frequency,149
324,Pain in left foot,148
325,"Hemoptysis, unspecified",147
326,Rotator cuff (capsule) sprain,145
327,Chronic tonsillitis,145
328,Sebaceous cyst,145
329,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm,145
330,"Spotting complicating pregnancy, antepartum condition or complication",144
331,"Post term pregnancy, antepartum condition or complication",144
332,"Other complications due to renal dialysis device, implant, and graft",144
333,"Unspecified antepartum hemorrhage, antepartum",143
334,"Other spondylosis, lumbar region",143
335,Change in bowel habit,143
336,Other microscopic hematuria,142
337,"Unspecified injury of right lower leg, initial encounter",141
338,Unspecified disorder of menstruation and other abnormal bleeding from female genital tract,140
339,Chronic pharyngitis,140
340,"Infection following a procedure, initial encounter",140
341,Hydronephrosis with renal and ureteral calculous obstruction,139
342,Acute respiratory failure with hypoxia,139
343,Fitting and adjustment of vascular catheter,139
344,Excessive and frequent menstruation with irregular cycle,139
345,Other and unspecified chronic nonsuppurative otitis media,138
346,"Gestational (pregnancy-induced) hypertension without significant proteinuria, unspecified trimester",138
347,"Laceration without foreign body of lip, initial encounter",137
348,Abnormal findings on diagnostic imaging of other parts of digestive tract,135
349,Aphasia,135
350,"Other tear of medial meniscus, current injury, left knee, initial encounter",135
351,"Unspecified injury of right ankle, initial encounter",134
352,Heartburn,133
353,Encounter for examination and observation following other accident,131
354,Paresthesia of skin,131
355,"Open wound of forearm, without mention of complication",130
356,"Unspecified injury of face, initial encounter",130
357,"Unspecified injury of right foot, initial encounter",130
358,Other plastic surgery for unacceptable cosmetic appearance,130
359,"Unspecified injury of left foot, initial encounter",129
360,"Other affections of shoulder region, not elsewhere classified",128
361,"Alcohol abuse, unspecified",128
362,Other symptoms involving digestive system,128
363,"Unspecified injury of left ankle, initial encounter",127
364,"Unspecified injury of thorax, initial encounter",127
365,"Spondylosis without myelopathy or radiculopathy, cervical region",126
366,"Preterm labor without delivery, third trimester",125
367,"Disorientation, unspecified",125
368,"Posterior subcapsular polar age-related cataract, left eye",124
369,"Poor fetal growth, affecting management of mother, antepartum condition or complication",123
370,Pain in right wrist,123
371,Other postoperative infection,123
372,"Localized swelling, mass and lump, neck",123
373,Abnormal involuntary movements,122
374,Other fecal abnormalities,121
375,"Unspecified vomiting of pregnancy, antepartum",121
376,Other visual disturbances,119
377,Other specified disorders of kidney and ureter,118
378,"Other intervertebral disc displacement, lumbar region",118
379,Enlargement of lymph nodes,118
380,"Upper abdominal pain, unspecified",117
381,Unspecified acute appendicitis,117
382,Microscopic hematuria,116
383,"Ocular pain, right eye",116
384,Panic disorder without agoraphobia,116
385,"Contusion of face, scalp, and neck except eye(s)",116
386,Full incontinence of feces,116
387,Pain in left wrist,115
388,Dysphasia,115
389,Abnormality in fetal heart rate and rhythm complicating labor and delivery,115
390,"Unspecified complication of pregnancy, antepartum",115
391,Maternal care for low transverse scar from previous cesarean delivery,114
392,Frequency of micturition,114
393,"Antepartum hemorrhage, unspecified, unspecified trimester",114
394,Hemoptysis,113
395,Hypertrophy of tonsil with adenoids,113
396,Other dorsalgia,112
397,"Contusion of other part of head, initial encounter",112
398,Acute pancreatitis,112
399,Cutaneous abscess of buttock,111
400,Other specified noninflammatory disorders of vagina,111
401,Encounter for removal of internal fixation device,111
402,Intracerebral hemorrhage,110
403,Urge incontinence,110
404,"Other specified injuries of right wrist, hand and finger(s), initial encounter",110
405,"Otalgia, bilateral",110
406,Calculus of gallbladder with chronic cholecystitis without obstruction,109
407,Other chronic pain,109
408,Elevated blood pressure reading without diagnosis of hypertension,109
409,Chronic maxillary sinusitis,107
410,Pain in left arm,106
411,Unspecified psychosis,105
412,Closed fracture of intertrochanteric section of femur,104
413,"Other spondylosis with radiculopathy, cervical region",104
414,"Ocular pain, left eye",104
415,Dental caries extending into dentine,104
416,Hydronephrosis,104
417,Displacement of cervical intervertebral disc without myelopathy,104
418,"Pain, unspecified",103
419,Hypertrophy of breast,102
420,"Posterior subcapsular polar age-related cataract, right eye",101
421,Maternal care for unspecified type scar from previous cesarean delivery,101
422,"Other complications due to other internal orthopedic device, implant, and graft",101
423,Hyposmolality and/or hyponatremia,101
424,Abscess of anal and rectal regions,100
425,Other specified disorders of nose and nasal sinuses,99
426,"Cholecystitis, unspecified",99
427,"Open wound of foot except toe(s) alone, without mention of complication",99
428,"Localized swelling, mass and lump, trunk",99
429,"Type I (juvenile type) diabetes mellitus with ketoacidosis, uncontrolled",98
430,Fussy infant (baby),98
431,Other abnormal clinical finding,98
432,"Type II or unspecified type diabetes mellitus with other specified manifestations, not stated as uncontrolled",98
433,"Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, third trimester",98
434,"Twin pregnancy, antepartum",97
435,Unspecified pruritic disorder,97
436,Dysmenorrhea,97
437,"Pregnant state, incidental",97
438,Single live birth,96
439,"Open wound of face, unspecified site, without mention of complication",96
440,Toxic effect of venom,96
441,"Threatened abortion, antepartum",96
442,Personal history of malignant neoplasm of bladder,95
443,"Laceration without foreign body of left index finger without damage to nail, initial encounter",95
444,Maxillary hyperplasia,95
445,"Open wound of jaw, without mention of complication",94
446,Benign prostatic hyperplasia without lower urinary tract symptoms,94
447,"Unspecified complication of cardiac and vascular prosthetic device, implant and graft, initial encounter",94
448,"Migraine, unspecified, not intractable, without status migrainosus",94
449,Panic disorder (episodic paroxysmal anxiety) without agoraphobia,93
450,Hallux valgus (acquired),93
451,"Bilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent",92
452,"Thrombocytopenia, unspecified",92
453,Nonspecific abnormal finding in stool contents,92
454,Other and unspecified ovarian cyst,92
455,"Laceration without foreign body of left eyelid and periocular area, initial encounter",92
456,Muscle weakness (generalized),91
457,Malignant neoplasm of upper-outer quadrant of right female breast,91
458,"Other specified injuries of left wrist, hand and finger(s), initial encounter",91
459,"Abrasion of other part of head, initial encounter",90
460,Obstruction of bile duct,90
461,"Spinal stenosis, lumbar region, with neurogenic claudication",89
462,"Unilateral primary osteoarthritis, right hip",89
463,Other hammer toe (acquired),89
464,"Laceration without foreign body of left hand, initial encounter",89
465,"Disorder of bone, unspecified",88
466,Closed fracture of unspecified part of neck of femur,88
467,"Maternal care for other known or suspected poor fetal growth, third trimester, not applicable or unspecified",87
468,Unspecified otitis media,87
469,"Chronic serous otitis media, bilateral",87
470,"Urticaria, unspecified",87
471,Other specified abnormal findings of blood chemistry,86
472,Disruption of external operation (surgical) wound,85
473,"Inguinal hernia without mention of obstruction or gangrene, bilateral, (not specified as recurrent)",85
474,"Malignant neoplasm of colon, unspecified site",85
475,"Tear of lateral cartilage or meniscus of knee, current",85
476,Other pulmonary embolism and infarction,84
477,Ventral hernia without obstruction or gangrene,84
478,Pain in right arm,84
479,"Tremor, unspecified",83
480,Edema of male genital organs,83
481,"Complete rotator cuff tear or rupture of right shoulder, not specified as traumatic",83
482,Other and unspecified diseases of the oral soft tissues,83
483,Closed fracture of lumbar vertebra without mention of spinal cord injury,83
484,Hemorrhage complicating a procedure,83
485,"Face, neck, and scalp, except eye, abrasion or friction burn, without mention of infection",83
486,"Pregnancy related conditions, unspecified, unspecified trimester",83
487,"Neutropenia, unspecified",83
488,Malignant neoplasm of upper-outer quadrant of left female breast,82
489,Barrett's esophagus,82
490,"Other complications of the puerperium, not elsewhere classified",82
491,"Cystocele, midline",82
492,Malignant neoplasm of upper-outer quadrant of female breast,82
493,Other specified complications of labor and delivery,82
494,"Noninfective gastroenteritis and colitis, unspecified",82
495,"Cervical incompetence, antepartum condition or complication",81
496,Closed fracture of dorsal (thoracic) vertebra without mention of spinal cord injury,81
497,Disorders of sacrum,81
498,Unspecified cataract,81
499,Chronic adenoiditis,81
500,Abnormal findings on diagnostic imaging of other specified body structures,81
501,Pain in left elbow,80
502,Acute and chronic respiratory failure,80
503,"Other mechanical complication of other internal orthopedic device, implant, and graft",79
504,Type 2 diabetes mellitus with hyperglycemia,79
505,Mandibular hyperplasia,79
506,Other abnormalities of breathing,79
507,"Laceration without foreign body of right eyelid and periocular area, initial encounter",78
508,"Other specified complication of vascular prosthetic devices, implants and grafts, initial encounter",78
509,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites",78
510,Hypoxemia,77
511,Encounter for cosmetic surgery,77
512,"Flatulence, eructation, and gas pain",77
513,Cellulitis and abscess of face,77
514,Peritoneal abscess,76
515,Sprain of cruciate ligament of knee,76
516,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase (LDH),76
517,Benign neoplasm of colon,76
518,Umbilical hernia with obstruction,75
519,"Maternal care for breech presentation, not applicable or unspecified",75
520,"Injury, other and unspecified, hip and thigh",75
521,Foreign body in ear,75
522,"Laceration without foreign body of left thumb without damage to nail, initial encounter",75
523,"Pain in joint, multiple sites",75
524,Other acute postprocedural pain,74
525,"Localized swelling, mass and lump, right upper limb",74
526,"Hb-SS disease with crisis, unspecified",74
527,Malignant neoplasm of unspecified part of unspecified bronchus or lung,74
528,"Liver disease, unspecified",73
529,Other nonspecific findings on examination of blood,73
530,Other disorder of coccyx,72
531,Streptococcus B carrier state complicating childbirth,72
532,Mandibular hypoplasia,72
533,Acute cholecystitis,72
534,"Pain due to internal orthopedic prosthetic devices, implants and grafts, initial encounter",72
535,Pain in right hand,72
536,Other and unspecified open wound of head without mention of complication,72
537,"Hyperparathyroidism, unspecified",72
538,Calculus of gallbladder with acute cholecystitis without obstruction,72
539,Unspecified hydronephrosis,72
540,"Umbilical hernia with obstruction, without gangrene",71
541,Slurred speech,71
542,Unspecified viral hepatitis C without hepatic coma,71
543,Acute posthemorrhagic anemia,71
544,"Uterovaginal prolapse, unspecified",71
545,"Disruption of external operation (surgical) wound, not elsewhere classified, initial encounter",71
546,Plantar fascial fibromatosis,70
547,"Dysmenorrhea, unspecified",70
548,Multiple myeloma not having achieved remission,70
549,Unspecified urinary incontinence,70
550,"Late vomiting of pregnancy, antepartum",70
551,Stress incontinence (female) (male),70
552,"Localized swelling, mass and lump, left upper limb",70
553,"Unspecified inflammatory spondylopathy, lumbar region",69
554,Rectal prolapse,69
555,"Other complications due to genitourinary device, implant, and graft",69
556,Pain in left thigh,69
557,"Malignant neoplasm of colon, unspecified",68
558,"Local infection of the skin and subcutaneous tissue, unspecified",68
559,Pilonidal cyst with abscess,68
560,Calculus of bile duct without cholangitis or cholecystitis without obstruction,68
561,Other specified disorders of penis,67
562,Pain in right elbow,67
563,"Mechanical complication of nervous system device, implant, and graft",67
564,"Other specified injuries of right ankle, initial encounter",67
565,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,67
566,Chronic pain syndrome,67
567,"Cerebral infarction, unspecified",66
568,Gastrostomy malfunction,66
569,"Other specified injuries of left ankle, initial encounter",66
570,Foreign body in esophagus,66
571,Other closed fractures of distal end of radius (alone),66
572,"Diabetes mellitus, antepartum",66
573,Personal history of malignant neoplasm of breast,65
574,Hypo-osmolality and hyponatremia,65
575,Rectal abscess,65
576,Unspecified local infection of skin and subcutaneous tissue,64
577,"Carcinoma in situ of cervix, unspecified",64
578,Carcinoma in situ of cervix uteri,64
579,"False labor before 37 completed weeks of gestation, third trimester",64
580,Type 2 diabetes mellitus with foot ulcer,64
581,Derangement of posterior horn of medial meniscus,64
582,Malignant neoplasm of sigmoid colon,64
583,Hb-SS disease with crisis,63
584,Calculus of bile duct without mention of cholecystitis or obstruction,63
585,"Hallux valgus (acquired), right foot",63
586,"Encounter for supervision of normal pregnancy, unspecified, third trimester",62
587,"Hemorrhage in early pregnancy, unspecified",62
588,Intraductal carcinoma in situ of right breast,62
589,"Laceration without foreign body of right hand, initial encounter",62
590,Malignant neoplasm of thyroid gland,62
591,"Unilateral primary osteoarthritis, left hip",62
592,Esophageal obstruction,62
593,"Chronic kidney disease, unspecified",62
594,Other injury of chest wall,61
595,Diverticulitis of large intestine without perforation or abscess without bleeding,61
596,"Unspecified injury of left elbow, initial encounter",61
597,"Gestational diabetes mellitus in pregnancy, unspecified control",61
598,"Mechanical complication of genitourinary device, implant, and graft, other",61
599,"Disorder of bone and cartilage, unspecified",61
600,Other pancytopenia,61
601,"Traumatic subdural hemorrhage without loss of consciousness, initial encounter",61
602,Nonspecific (abnormal) findings on radiological and other examination of genitourinary organs,61
603,"Disorders of soft tissue, unspecified",60
604,Second degree perineal laceration during delivery,60
605,Cutaneous abscess of right lower limb,60
606,Diplopia,60
607,"Age-related nuclear cataract, left eye",60
608,Ulcer of other part of foot,60
609,"Insomnia, unspecified",60
610,"Hepatomegaly, not elsewhere classified",60
611,Other ascites,60
612,Nontoxic uninodular goiter,60
613,"Spinal stenosis, cervical region",60
614,"Twin liveborn infant, delivered vaginally",60
615,Contact with and (suspected) exposure to infections with a predominantly sexual mode of transmission,60
616,Unspecified jaundice,60
617,Abdominal distension (gaseous),59
618,"Unspecified rotator cuff tear or rupture of right shoulder, not specified as traumatic",59
619,Mechanical complication of gastrostomy,59
620,"Alcohol abuse with intoxication, uncomplicated",59
621,Attention to gastrostomy,59
622,"Chronic sinusitis, unspecified",59
623,Obstructive chronic bronchitis with exacerbation,59
624,Intraductal carcinoma in situ of left breast,59
625,"Collapsed vertebra, not elsewhere classified, thoracic region, initial encounter for fracture",59
626,Type 1 diabetes mellitus with ketoacidosis without coma,58
627,"Hallucinations, unspecified",58
628,Unspecified internal derangement of knee,58
629,"Gestational diabetes mellitus in pregnancy, diet controlled",58
630,Foreign body in unspecified site on external eye,58
631,"Open wound of wrist, without mention of complication",58
632,Secondary malignant neoplasm of liver and intrahepatic bile duct,58
633,Cervical spondylosis with myelopathy,58
634,Other acute postoperative pain,58
635,Hallucinations,57
636,Mild hyperemesis gravidarum,57
637,Abnormal levels of other serum enzymes,57
638,Other specified disorders of liver,57
639,Urgency of urination,57
640,"Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation",57
641,"Calculus of gallbladder with acute cholecystitis, without mention of obstruction",57
642,Senile nuclear sclerosis,57
643,Articular disc disorder (reducing or non-reducing) of temporomandibular joint,57
644,Nontoxic multinodular goiter,56
645,"Oligohydramnios, antepartum",56
646,"Type II or unspecified type diabetes mellitus with neurological manifestations, not stated as uncontrolled",56
647,Pain in left toe(s),56
648,Contact with or exposure to venereal diseases,56
649,"Diverticulitis of intestine, part unspecified, without perforation or abscess without bleeding",56
650,"Multiple myeloma, without mention of having achieved remission",56
651,Mixed incontinence urge and stress (male)(female),55
652,False labor at or after 37 completed weeks of gestation,55
653,Basal cell carcinoma of skin of other and unspecified parts of face,55
654,Bacteremia,55
655,Unspecified visual disturbance,55
656,Inflammatory disease of breast,55
657,"Preterm labor third trimester with preterm delivery third trimester, not applicable or unspecified",55
658,"Abnormal maternal glucose tolerance, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care",55
659,"Abnormality in fetal heart rate/rhythm, antepartum condition or complication",55
660,Unspecified disorder of skin and subcutaneous tissue,54
661,"Other chronic nonsuppurative otitis media, bilateral",54
662,"Myelodysplastic syndrome, unspecified",54
